date,classification,trades,total_pnl,total_volume,win_rate,unique_traders
2024-06-04,Greed,53.0,52.211438,24243.410000000003,1.0,1.0
2024-06-05,Extreme Greed,54.0,56.055506,25350.77,0.9411764705882353,1.0
2024-06-06,Extreme Greed,234.0,274.173187,137557.76,0.9803921568627451,1.0
2024-06-07,Extreme Greed,440.0,8902.467416,1098588.7600000002,0.9887640449438202,3.0
2024-06-08,Greed,29.0,129.13883900000002,97351.87999999998,1.0,2.0
2024-06-09,Extreme Greed,17.0,0.0,22410.219999999998,,2.0
2024-06-10,Greed,53.0,31.266804999999998,46587.92999999999,1.0,2.0
2024-06-11,Greed,123.0,4320.631811,373279.92000000004,1.0,3.0
2024-06-12,Greed,254.0,-21886.531493,193407.96,0.2692307692307692,2.0
2024-06-13,Greed,79.0,6632.757115,132577.22,0.95,2.0
2024-06-14,Greed,31.0,10258.592608999998,139868.65999999997,1.0,2.0
2024-06-15,Greed,78.0,3369.958346,718350.25,1.0,2.0
2024-06-16,Greed,11.0,0.0,25235.079999999998,,1.0
2024-06-17,Greed,38.0,10599.502375,368380.12,0.9615384615384616,2.0
2024-06-18,Greed,25.0,282.57635999999997,263314.79000000004,1.0,2.0
2024-06-19,Greed,61.0,4887.656943999999,417071.12,1.0,3.0
2024-06-20,Greed,39.0,57478.45602599999,207990.8,1.0,3.0
2024-06-21,Greed,80.0,773.5582039999999,176264.49,1.0,2.0
2024-06-22,Neutral,24.0,756.876565,169594.27000000002,1.0,2.0
2024-06-23,Greed,5.0,0.0,1792.1200000000001,,1.0
2024-06-24,Neutral,31.0,0.0,403002.79999999993,,2.0
2024-06-25,Fear,49.0,4869.353105,103099.08000000002,1.0,1.0
2024-06-26,Neutral,72.0,4197.732182,365190.66,1.0,2.0
2024-06-27,Fear,30.0,0.0,130486.94999999998,,2.0
2024-06-29,Fear,75.0,6150.326145000001,280095.11,1.0,2.0
2024-06-30,Neutral,14.0,0.0,30520.69,,2.0
2024-07-01,Neutral,64.0,5065.8393080000005,362670.14999999997,1.0,2.0
2024-07-02,Neutral,18.0,2421.2531160000003,33347.47,1.0,1.0
2024-07-03,Neutral,18.0,1118.387284,179600.65999999997,1.0,2.0
2024-07-04,Fear,25.0,0.0,430568.01,,2.0
2024-07-05,Fear,32.0,0.0,272289.89,,2.0
2024-07-06,Fear,24.0,108.87217799999999,2490.17,1.0,1.0
2024-07-07,Fear,10.0,61.428942,498.74999999999994,1.0,1.0
2024-07-08,Fear,1.0,0.0,497.64,,1.0
2024-07-09,Fear,15.0,648.9844120000001,2736.4500000000003,1.0,1.0
2024-07-10,Fear,56.0,11977.734907,687900.21,1.0,2.0
2024-07-11,Fear,19.0,1876.812082,169887.02000000002,1.0,1.0
2024-07-12,Fear,19.0,1412.314654,89582.97000000002,1.0,2.0
2024-07-13,Fear,17.0,2913.6178370000002,139189.19,1.0,2.0
2024-07-14,Fear,7.0,0.0,84001.13,,1.0
2024-07-15,Neutral,26.0,-1.0,198344.85,0.0,2.0
2024-07-16,Greed,22.0,0.0,144000.57,,1.0
2024-07-17,Greed,351.0,1859.269477,626005.53,0.9354838709677419,3.0
2024-07-18,Greed,60.0,3803.884311,649704.85,1.0,2.0
2024-07-19,Greed,23.0,2155.891114,150269.42,1.0,2.0
2024-07-20,Greed,266.0,2299.169566,244362.21000000002,0.9166666666666666,2.0
2024-07-21,Greed,448.0,-2960.716887,234307.46,0.08898305084745763,2.0
2024-07-22,Greed,154.0,1517.119876,304213.8,0.20754716981132076,2.0
2024-07-23,Greed,370.0,89890.302206,358526.54,0.9038461538461539,3.0
2024-07-24,Greed,90.0,625.561479,69207.93000000001,1.0,5.0
2024-07-25,Greed,78.0,916.7382600000001,528555.3099999999,1.0,3.0
2024-07-26,Greed,152.0,2766.513113,548587.65,1.0,4.0
2024-07-27,Greed,57.0,6400.623656,905199.75,1.0,2.0
2024-07-28,Greed,16.0,587.2990299999999,43254.68000000001,1.0,2.0
2024-07-29,Greed,39.0,330.804454,327199.1400000001,1.0,2.0
2024-07-30,Greed,6.0,0.0,36006.47,,1.0
2024-07-31,Greed,43.0,765.6908840000001,84506.54,1.0,2.0
2024-08-01,Neutral,57.0,167.080017,227774.53,0.5714285714285714,4.0
2024-08-02,Greed,63.0,782.368191,396320.37,1.0,3.0
2024-08-03,Fear,37.0,464.1897,290532.86,1.0,5.0
2024-08-04,Fear,127.0,-122672.00088300002,1207744.0700000003,0.046153846153846156,5.0
2024-08-05,Fear,80.0,-13013.665168999998,420495.39999999997,0.868421052631579,4.0
2024-08-06,Extreme Fear,107.0,267.318048,61478.38,0.5,2.0
2024-08-07,Fear,33.0,188.78925500000003,2492.77,1.0,3.0
2024-08-08,Extreme Fear,9.0,-40.712216999999995,16299.35,0.0,2.0
2024-08-09,Neutral,144.0,18082.071276000002,503204.86000000004,0.7413793103448276,5.0
2024-08-10,Fear,88.0,0.0,11339.29,,2.0
2024-08-11,Fear,24.0,847.7766200000001,44230.21,1.0,2.0
2024-08-12,Fear,48.0,858.6705,54167.32,1.0,3.0
2024-08-13,Fear,23.0,212.08102,20797.87,1.0,3.0
2024-08-14,Fear,25.0,2168.9015130000003,66710.03,1.0,3.0
2024-08-15,Fear,12.0,0.0,1522.3700000000001,,1.0
